sample_lib,date,experiment,antibody,concentration,sort_bin,number_cells,counts,counts:cells,is_reference
"bg4e_6-9-none-0-ref, lib1",210622,bg4e_6-9,none,0,ref,,2.18e+07,,True
"bg4e_6-9-none-0-ref, lib2",210622,bg4e_6-9,none,0,ref,,2.18e+07,,True
"bg4e_8-K115_old-80-abneg, lib1",210622,bg4e_8,K115_old,80,abneg,6.04e+05,1.5e+06,2.48,False
"bg4e_8-K115_old-80-abneg, lib2",210622,bg4e_8,K115_old,80,abneg,5.67e+05,1.31e+06,2.32,False
"bg4e_10-K007-500-abneg, lib1",210702,bg4e_10,K007,500,abneg,5.1e+05,3.4e+06,6.66,False
"bg4e_10-K007-500-abneg, lib2",210702,bg4e_10,K007,500,abneg,4.95e+05,2.92e+06,5.9,False
"bg4e_11-K031-500-abneg, lib1",210702,bg4e_11,K031,500,abneg,7.31e+05,4.79e+06,6.55,False
"bg4e_11-K031-500-abneg, lib2",210702,bg4e_11,K031,500,abneg,7.12e+05,3.79e+06,5.32,False
"bg4e_12-K033-500-abneg, lib1",210702,bg4e_12,K033,500,abneg,8.02e+05,5.24e+06,6.53,False
"bg4e_12-K033-500-abneg, lib2",210702,bg4e_12,K033,500,abneg,7.73e+05,4.55e+06,5.89,False
"bg4e_13-K040-500-abneg, lib1",210702,bg4e_13,K040,500,abneg,6.87e+05,4.46e+06,6.49,False
"bg4e_13-K040-500-abneg, lib2",210702,bg4e_13,K040,500,abneg,6.79e+05,4.38e+06,6.44,False
"bg4e_14-K041-500-abneg, lib1",210702,bg4e_14,K041,500,abneg,6.02e+05,4.42e+06,7.35,False
"bg4e_14-K041-500-abneg, lib2",210702,bg4e_14,K041,500,abneg,6.02e+05,3.87e+06,6.43,False
"bg4e_10-14-reference-0-ref, lib1",210702,bg4e_10-14,reference,0,ref,,6.5e+07,,True
"bg4e_10-14-reference-0-ref, lib2",210702,bg4e_10-14,reference,0,ref,,5.92e+07,,True
"bg4e_15-18-reference-0-ref, lib1",210707,bg4e_15-18,reference,0,ref,,9.55e+07,,True
"bg4e_15-18-reference-0-ref, lib2",210707,bg4e_15-18,reference,0,ref,,9.93e+07,,True
"bg4e_15-K046-200-abneg, lib1",210707,bg4e_15,K046,200,abneg,5.61e+05,5.76e+06,10.3,False
"bg4e_15-K046-200-abneg, lib2",210707,bg4e_15,K046,200,abneg,4.19e+05,4.52e+06,10.8,False
"bg4e_16-K114-200-abneg, lib1",210707,bg4e_16,K114,200,abneg,6.39e+05,6.65e+06,10.4,False
"bg4e_16-K114-200-abneg, lib2",210707,bg4e_16,K114,200,abneg,5.42e+05,4.59e+06,8.47,False
"bg4e_17-K115-80-abneg, lib1",210707,bg4e_17,K115,80,abneg,1.67e+06,1.37e+07,8.23,False
"bg4e_17-K115-80-abneg, lib2",210707,bg4e_17,K115,80,abneg,1.98e+06,1.66e+07,8.37,False
"bg4e_18-K119-200-abneg, lib1",210707,bg4e_18,K119,200,abneg,5.48e+05,5.71e+06,10.4,False
"bg4e_18-K119-200-abneg, lib2",210707,bg4e_18,K119,200,abneg,6.3e+05,7.21e+06,11.4,False
